Customer_ID,Account_Category,Account_Number,Administrator_ID,Service_Provider_ID,Auditor_ID,Bank_Name
51516,Current,5.43593E+15,6591280989,5.52112E+15,41445,Gringotts 
85820,Savings,5.57274E+15,3687598091,5.22059E+15,25954,Gringotts 
92538,Current,5.12088E+15,8600365895,5.54259E+15,98971,Gringotts 
31554,Savings,5.43859E+15,3156620572,5.58024E+15,81224,Gringotts 
94914,Current,5.37984E+15,9240093888,5.23787E+15,52934,Gringotts 
86418,Savings,5.19309E+15,0772427985,5.12783E+15,54208,Gringotts 
9140,Current,5.29511E+15,8146816319,5.42011E+15,24253,Gringotts 
6569,Savings,5.29656E+15,3765992793,5.56939E+15,10976,Gringotts 
4118,Current,5.39921E+15,6501774679,5.54795E+15,28954,Gringotts 
11854,Savings,5.5909E+15,5872994732,5.23883E+15,51254,Gringotts 
85671,Current,5.58388E+15,2999339791,5.19038E+15,41445,Gringotts 
78933,Savings,5.51585E+15,2500608078,5.39923E+15,25954,Gringotts 
81129,Current,5.40256E+15,1175693089,5.16083E+15,98971,Gringotts 
76420,Savings,5.45129E+15,4383631372,5.37629E+15,81224,Gringotts 
15936,Current,5.35408E+15,5965202007,5.54082E+15,52934,Gringotts 
38662,Savings,5.33129E+15,3840737835,5.23381E+15,54208,Gringotts 
46928,Current,5.44355E+15,5150633322,5.38871E+15,24253,Gringotts 
71405,Savings,5.45387E+15,6954057699,5.29114E+15,10976,Gringotts 
8886,Current,5.32034E+15,6793473624,5.51823E+15,28954,Gringotts 
76862,Savings,5.17317E+15,3076160406,5.52954E+15,51254,Gringotts 
76226,Current,5.27297E+15,2927065725,5.33452E+15,41445,Gringotts 
92176,Savings,5.23303E+15,7456711857,5.40079E+15,25954,Gringotts 
86002,Current,5.19242E+15,6602972422,5.27255E+15,98971,Gringotts 
91584,Savings,5.26682E+15,1967701810,5.21646E+15,81224,Gringotts 
16947,Current,5.54189E+15,4754379096,5.13939E+15,52934,Gringotts 
53427,Savings,5.59783E+15,6591280989,5.13404E+15,54208,Gringotts 
92741,Current,5.50673E+15,3687598091,5.57911E+15,24253,Gringotts 
21939,Savings,5.21178E+15,8600365895,5.19075E+15,10976,Gringotts 
30296,Current,5.12286E+15,3156620572,5.59892E+15,28954,Gringotts 
40703,Savings,5.42259E+15,9240093888,5.5047E+15,51254,Gringotts 
74830,Current,5.24686E+15,0772427985,5.57825E+15,41445,Gringotts 
60114,Savings,5.52315E+15,8146816319,5.1015E+15,25954,Gringotts 
22880,Current,5.41355E+15,3765992793,5.32549E+15,98971,Gringotts 
21407,Savings,5.28728E+15,6501774679,5.48858E+15,81224,Gringotts 
87766,Current,5.33399E+15,5872994732,5.21907E+15,52934,Gringotts 
94472,Savings,5.17497E+15,2999339791,5.21914E+15,54208,Gringotts 
54285,Current,5.42549E+15,2500608078,5.34421E+15,24253,Gringotts 
20513,Savings,5.19965E+15,1175693089,5.30217E+15,10976,Gringotts 
60024,Current,5.24415E+15,4383631372,5.31317E+15,28954,Gringotts 
6843,Savings,5.11899E+15,5965202007,5.28526E+15,51254,Gringotts 
16516,Current,5.20861E+15,3840737835,5.54095E+15,41445,Gringotts 
9080,Savings,5.59799E+15,5150633322,5.2879E+15,25954,Gringotts 
78872,Current,5.21491E+15,6954057699,5.51267E+15,98971,Gringotts 
72988,Savings,5.34633E+15,6793473624,5.33379E+15,81224,Gringotts 
22453,Current,5.29166E+15,3076160406,5.31549E+15,52934,Gringotts 
17494,Savings,5.24125E+15,2927065725,5.34522E+15,54208,Gringotts 
59260,Current,5.51983E+15,7456711857,5.43248E+15,24253,Gringotts 
12752,Savings,5.15732E+15,6602972422,5.11597E+15,10976,Gringotts 
56426,Current,5.48996E+15,1967701810,5.51124E+15,28954,Gringotts 
41891,Savings,5.48911E+15,4754379096,5.22529E+15,51254,Gringotts 
73841,Current,5.58899E+15,6591280989,5.19878E+15,41445,Gringotts 
3612,Savings,5.12366E+15,3687598091,5.36329E+15,25954,Gringotts 
74765,Current,5.13689E+15,8600365895,5.40927E+15,98971,Gringotts 
47267,Savings,5.22086E+15,3156620572,5.22287E+15,81224,Gringotts 
53658,Current,5.13054E+15,9240093888,5.43642E+15,52934,Gringotts 
51235,Savings,5.10223E+15,0772427985,5.16931E+15,54208,Gringotts 
40594,Current,5.55436E+15,8146816319,5.11345E+15,24253,Gringotts 
78385,Savings,5.43986E+15,3765992793,5.36785E+15,10976,Gringotts 
88084,Current,5.31086E+15,6501774679,5.33283E+15,28954,Gringotts 
66912,Savings,5.12735E+15,5872994732,5.41701E+15,51254,Gringotts 
89765,Current,5.52871E+15,2999339791,5.24965E+15,41445,Gringotts 
11486,Savings,5.28326E+15,2500608078,5.24742E+15,25954,Gringotts 
17189,Current,5.54925E+15,1175693089,5.46847E+15,98971,Gringotts 
58014,Savings,5.2668E+15,4383631372,5.10317E+15,81224,Gringotts 
5381,Current,5.19175E+15,5965202007,5.4202E+15,52934,Gringotts 
9264,Savings,5.17919E+15,3840737835,5.44895E+15,54208,Gringotts 
